name,lng,lat
厦门市大同中学-同靖楼, 118.096883, 24.459834
福建省厦门实验小学-北门, 118.095061, 24.462021
厦门城市职业学院斗西校区-西门, 118.092307, 24.471297
福建省厦门实验小学-西南门, 118.093032, 24.461628
故宫小学-南门, 118.088475, 24.47072
厦门市思明小学-东门, 118.094633, 24.448447
厦门理工学院-学生宿舍, 118.093855, 24.450807
厦门理工学院奥鹏远程教育学习中心, 118.097223, 24.444998
厦门市东渡小学-正门, 118.091243, 24.495005
厦门市城市建设中等职业学校-西北门, 118.096041, 24.471867
未名教育一对一个性化辅导冲刺中高考家教培训学校(公园校区), 118.095796, 24.460688
思北小学-南门, 118.089383, 24.463629
昂乐教育(思明群惠小学分校), 118.091899, 24.45894
学霸君中小学在线1对1辅导, 118.094421, 24.459463
福建省厦门双十中学-南门, 118.092951, 24.45604
文书学院, 118.097091, 24.443251
厦门凤凰木美术培训学校, 118.096759, 24.449432
月牙棋苑(实验小学店), 118.095824, 24.460764
厦门市大同中学-西南门, 118.096041, 24.460515
厦门市第十一中学(湖滨南路)-南门, 118.090514, 24.471739
新南强法律教育培训学校, 118.090557, 24.485515
厦门城市职业学院终身教育服务中心, 118.092624, 24.471097
北京师范大学产业总公司文化教育部厦门学院, 118.095678, 24.44776
厦门理工学院继续教育学院校本部学习中心, 118.097054, 24.445073
厦门市园南小学-正门, 118.093828, 24.464157
福建省厦门第六中学校史馆, 118.095301, 24.501036
厦门六中学生宿舍, 118.096844, 24.50091
厦门市思明小学-南门, 118.096003, 24.449714
厦门市中华会计函授学校-南门, 118.090375, 24.468439
思明区教师进修学校-西北门, 118.097031, 24.444747
高兴的小鸟(实小校区), 118.095307, 24.462388
厦门市演武小学西区-东南门, 118.097373, 24.444188
公园小学游泳馆, 118.096279, 24.468388
厦门理工学院学生宿舍-西门, 118.094044, 24.450633
厦门医学院-东南门, 118.095248, 24.455629
厦门双十中学校友总会(校外秘书处), 118.088905, 24.471369
福建省厦门双十中学-卢祖荫科艺馆, 118.092447, 24.457165
厦门城市职业学院老年人体育协会, 118.092271, 24.471334
重庆大学校友总会厦门分会, 118.095635, 24.47364
顶顶学堂(故宫小学校区), 118.089085, 24.47068
厦门医学院(石泉校区), 118.095124, 24.455712
厦门市公园小学-正门, 118.095572, 24.467975
厦门市大同中学-东门, 118.097306, 24.460576
厦门市城市建设中等职业学校, 118.095913, 24.471848
厦门市第十一中学(湖滨南路)-北门, 118.090886, 24.473009
福建省厦门双十中学-北门, 118.091866, 24.457525
巴西柔术格斗学院, 118.090533, 24.485492
福建省厦门实验小学-东门, 118.095747, 24.461529
厦门市群惠小学-东门, 118.091334, 24.458673
厦门城市职业学院继续教育中心(斗西校区), 118.092392, 24.471199
厦门市思北小学(北校区)-北门, 118.088717, 24.464191
小主美妆商学院, 118.091023, 24.468342
厦门市大同中学-同靖楼, 118.096883, 24.459834
福建省厦门实验小学-北门, 118.095061, 24.462021
厦门城市职业学院斗西校区-西门, 118.092307, 24.471297
福建省厦门实验小学-西南门, 118.093032, 24.461628
厦门市思明小学-东门, 118.094633, 24.448447
厦门理工学院-学生宿舍, 118.093855, 24.450807
厦门理工学院奥鹏远程教育学习中心, 118.097223, 24.444998
厦门市东渡小学-正门, 118.091243, 24.495005
厦门市城市建设中等职业学校-西北门, 118.096041, 24.471867
未名教育一对一个性化辅导冲刺中高考家教培训学校(公园校区), 118.095796, 24.460688
思北小学-南门, 118.089383, 24.463629
昂乐教育(思明群惠小学分校), 118.091899, 24.45894
学霸君中小学在线1对1辅导, 118.094421, 24.459463
福建省厦门双十中学-南门, 118.092951, 24.45604
厦门凤凰木美术培训学校, 118.096759, 24.449432
故宫小学-南门, 118.088475, 24.47072
月牙棋苑(实验小学店), 118.095824, 24.460764
厦门市大同中学-西南门, 118.096041, 24.460515
厦门市第十一中学(湖滨南路)-南门, 118.090514, 24.471739
新南强法律教育培训学校, 118.090557, 24.485515
厦门城市职业学院终身教育服务中心, 118.092624, 24.471097
北京师范大学产业总公司文化教育部厦门学院, 118.095678, 24.44776
厦门理工学院继续教育学院校本部学习中心, 118.097054, 24.445073
厦门市园南小学-正门, 118.093828, 24.464157
